RouteName;Direction;TFLSequence;BusStopCode;FirstLast
58;2;22;73501;
221;2;1;56013;FIRST
612;1;28;56451;
117;2;7;52647;
157;2;21;71720;
305;1;7;48419;
160;1;26;49705;
N207;2;84;52045;
N87;2;23;56380;
267;1;39;50039;
70;1;23;48169;
606;1;24;56632;
113;1;21;77865;
681;1;7;73226;
96;2;10;75896;
96;1;11;53430;
R3;2;39;95005;
H28;1;58;71006;
189;2;33;75605;
C11;1;39;73867;
R10;2;12;77467;
102;1;40;76530;
308;1;3;73360;
60;1;24;53151;
64;1;12;74825;
205;1;43;47993;
142;2;48;51731;
A10;2;17;47616;
W10;2;8;98141;
279;1;8;75864;
T31;2;11;49328;
151;1;42;57236;
110;1;18;49143;
252;1;39;50832;
69;1;13;77977;
358;1;58;74049;
270;1;4;72102;
151;1;35;51638;
90;1;22;49558;
X68;2;31;52151;
279;1;13;53576;
134;2;67;55198;
120;1;18;76290;
37;2;27;77905;
273;1;6;55009;
658;2;7;73010;
83;2;27;53519;
N551;2;2;74461;
667;1;26;47057;LAST
38;2;19;53324;
624;2;21;58394;
N86;1;7;58388;
328;1;26;73771;
279;2;49;51386;LAST
229;2;44;58191;
601;1;26;53462;
N73;1;22;76752;
410;2;15;58425;
95;1;24;75336;
397;1;23;58335;
N89;2;23;72697;
322;1;28;71905;
616;2;4;72036;
450;2;39;56293;
96;2;47;50263;LAST
15;2;22;77343;
664;2;1;53587;FIRST
656;1;4;51792;
110;2;1;50369;FIRST
328;2;6;50866;
167;1;31;57034;
N73;2;56;73135;
N74;2;13;47675;
D7;1;17;47649;
S1;2;26;50556;
N15;2;35;54901;
B11;1;21;77159;
193;2;24;76283;
173;1;3;57697;
385;1;19;59324;
34;2;7;76993;
264;1;3;58324;
669;2;23;48707;
N29;1;42;76764;
627;2;7;73640;
N550;1;1;49692;FIRST
N68;2;38;47772;
33;2;34;47991;
265;1;48;74121;
149;1;12;57704;
N8;2;64;49768;
R1;1;6;58919;
N5;1;32;50660;
N16;1;24;71695;
452;1;36;55093;
105;1;4;57351;
86;2;10;72469;
N343;2;22;57340;
45;2;39;47306;
N91;1;17;49546;
N279;1;28;59572;
21;1;34;73861;
270;2;36;49980;LAST
422;1;43;56120;
391;1;12;77215;
N207;1;51;54900;
386;1;33;53054;
121;1;30;58006;
N13;1;23;48149;
255;1;30;91412;
294;1;22;48957;
186;1;5;59604;
254;2;6;73322;
N63;2;6;54064;
632;1;33;49448;
N1;2;11;75918;
482;1;29;51098;
W15;1;22;58654;
190;2;24;54727;
77;1;4;53045;
H14;2;9;71739;
638;2;59;52735;
493;1;69;48961;LAST
N136;2;53;50716;
313;1;43;55541;
284;1;8;53567;
168;1;5;73683;
G1;2;16;72418;
72;2;2;74559;
208;2;38;59019;
276;1;46;56722;
220;2;34;52645;
K3;2;53;50713;
14;1;26;75622;
E10;1;23;53923;
H25;1;17;53911;
N19;1;38;49861;
42;2;20;50054;
100;2;14;54542;
115;2;2;51391;
157;1;64;91445;
365;1;11;76639;
B12;1;19;71328;
326;2;25;77179;
406;1;3;58783;
N205;1;31;55223;
U10;2;11;54585;
678;2;25;58714;
186;1;52;77865;
107;2;28;53642;
182;1;18;72453;
149;1;25;55981;
207;1;41;48395;
RV1;2;15;51252;
299;2;3;58012;
18;1;26;55062;
151;1;32;52005;
406;1;8;48470;
394;1;14;58396;
142;2;3;50218;
302;2;10;74398;
E8;1;12;57945;
112;2;5;53810;
EL2;1;8;55167;
60;2;47;76439;
253;2;22;50880;
376;1;20;54018;
EL2;2;18;55268;
397;1;20;57339;
254;2;25;77184;
R3;2;33;54778;
601;2;41;57390;
496;2;18;57062;
282;2;3;55241;
398;2;12;47112;
632;2;14;71391;
N18;1;42;53926;
237;1;11;72776;
249;2;12;58665;
171;1;17;57686;
146;1;2;53688;
254;1;11;73343;
197;2;37;53546;
281;1;54;72410;
300;1;39;53154;
C10;2;44;58185;LAST
264;2;14;58429;
302;1;28;53531;
316;1;29;73282;
51;1;39;58935;
229;2;61;54736;
160;1;37;72465;
269;2;24;53713;
195;1;52;71171;
367;2;24;74299;
